Date,Score
2/1986,0.007316000945176002
3/1986,0.012582165942303544
4/1986,0.014121461489153074
5/1986,0.017116081453823997
6/1986,0.011291238920955831
7/1986,-0.0027979851514788492
8/1986,-0.005048613488150803
9/1986,-0.01626813078737254
10/1986,-0.019509061599702275
11/1986,-0.026270459113595126
12/1986,-0.02471147799822065
1/1987,-0.022246532451947725
2/1987,-0.01215340066935118
3/1987,-0.0109769335499313
4/1987,-0.023177177931365353
5/1987,-0.017209642826249243
6/1987,-0.018301039941530203
7/1987,-0.014614288159501396
8/1987,-0.06155945666945954
9/1987,-0.059605152109677116
10/1987,-0.06136270515971427
11/1987,-0.07833958413462441
12/1987,-0.07451458062273948
1/1988,-0.07874051433628179
2/1988,-0.05019862153017884
3/1988,-0.04607715072102358
4/1988,-0.0511347976067209
5/1988,-0.039001374092009884
6/1988,-0.03331184595848372
7/1988,-0.03950751906675299
8/1988,-5.119515024006359e-05
9/1988,-0.0020989069407816568
10/1988,-0.06058552684035363
11/1988,-0.04838639265634834
12/1988,-0.04305524698284222
1/1989,-0.03678059889248792
2/1989,-0.03667860255605773
3/1989,-0.03505817392583133
4/1989,-0.032247564008053564
5/1989,-0.029319749209533213
6/1989,-0.024804952074390145
7/1989,-0.02630025163358759
8/1989,-0.010491384738058683
9/1989,-0.010424891211815224
10/1989,-0.017096258843658667
11/1989,-0.016733811845492642
12/1989,-0.028336111329111447
1/1990,-0.027519814709692052
2/1990,-0.035472669597336935
3/1990,-0.030855966173360973
4/1990,-0.02905767443091322
5/1990,-0.037525343153621785
6/1990,-0.03557017539715513
7/1990,-0.04302374312773896
8/1990,-0.12588018816141808
9/1990,-0.12832128708062174
10/1990,-0.07854585754983844
11/1990,-0.07447522109837634
12/1990,-0.07140733153476653
1/1991,-0.07432366124101158
2/1991,-0.06903047539007379
3/1991,-0.05702339992377823
4/1991,-0.049416348858000704
5/1991,-0.04840821132317157
6/1991,-0.04707250494467288
7/1991,-0.04584561916686268
8/1991,-0.06012664068204195
9/1991,-0.05941699764738388
10/1991,-0.0884194092597707
11/1991,-0.09647423996001918
12/1991,-0.08042582054506442
1/1992,-0.0568971727229724
2/1992,-0.053308352097463214
3/1992,-0.055879023466926185
4/1992,-0.051127906653371
5/1992,-0.04893808007316901
6/1992,-0.04606947414565095
7/1992,-0.04557619131053749
8/1992,-0.010944899391894533
9/1992,-0.010134985305077917
10/1992,-0.009785761798509192
11/1992,0.008390616055406426
12/1992,0.00937753268176312
1/1993,0.010572050761198616
2/1993,0.010173807909313019
3/1993,0.012633892229872847
4/1993,-0.029092493481434115
5/1993,-0.027193811584070374
6/1993,-0.022693777625141458
7/1993,-0.026169032230851246
8/1993,-0.05891633499537005
9/1993,-0.05300681408149323
10/1993,-0.05110661152766865
11/1993,-0.06844909568155194
12/1993,-0.07266865414687086
1/1994,0.010609110257476233
2/1994,0.012755050050320491
3/1994,0.014048284434852835
4/1994,-0.0014598069677960901
