0
Unnamed: 0
COMPANY
date
SDG_1
SDG_10
SDG_11
SDG_12
SDG_13
SDG_14
SDG_15
SDG_16
SDG_17
SDG_2
SDG_3
SDG_4
SDG_5
SDG_6
SDG_7
SDG_8
SDG_9
url
SDG_10_count
SDG_11_count
SDG_12_count
SDG_13_count
SDG_14_count
SDG_15_count
SDG_16_count
SDG_17_count
SDG_1_count
SDG_2_count
SDG_3_count
SDG_4_count
SDG_5_count
SDG_6_count
SDG_7_count
SDG_8_count
SDG_9_count
